,Dates,Xt,Rt
88,2020-05-31,94991.20772110039,85295.66191788507
89,2020-06-01,97681.0873723529,90109.58648263615
90,2020-06-02,100262.85127496143,95220.08387012496
91,2020-06-03,102503.72370609792,100469.16223493655
92,2020-06-04,104631.36456598071,105855.15746740325
93,2020-06-05,106781.14445432025,111469.01943064528
94,2020-06-06,108952.59145189052,117175.03572606586
95,2020-06-07,110975.66223860014,123122.63234598901
96,2020-06-08,113044.60465653111,129274.14814653191
97,2020-06-09,115178.9977903529,135539.97823567837
98,2020-06-10,117049.39875331629,142034.82969191618
99,2020-06-11,118824.75245860947,148721.8461438325
100,2020-06-12,120706.89208291388,155536.2849087152
101,2020-06-13,122397.63655251433,162582.8094991383
102,2020-06-14,123802.66836393207,169806.0505285621
103,2020-06-15,125120.78627248958,177140.144186194
104,2020-06-16,126317.29848098074,184665.0374827794
105,2020-06-17,127356.49731861548,192326.39087179894
106,2020-06-18,128281.98963898633,200126.77812423205
107,2020-06-19,129150.51714278293,208087.8931793546
108,2020-06-20,129928.88731935306,216155.76816082612
109,2020-06-21,130505.25228198258,224368.57797821352
110,2020-06-22,130989.37278504041,232711.06028696973
111,2020-06-23,131443.58881205448,241146.63629618395
112,2020-06-24,131705.7294575684,249718.74265656463
113,2020-06-25,131762.1857296059,258400.09450311982
114,2020-06-26,131713.65462670368,267142.936206538
115,2020-06-27,131498.004265973,275987.54629777675
116,2020-06-28,131098.60942323823,284910.6696107284
117,2020-06-29,130591.19094274698,293878.30179852375
118,2020-06-30,129971.29878370535,302912.08783569036
119,2020-07-01,129207.50055366104,311988.7089796913
120,2020-07-02,128301.36203187626,321095.50842858094
121,2020-07-03,127299.20103870088,330231.68632773496
122,2020-07-04,126209.1308695509,339379.55167346663
123,2020-07-05,124976.70715573453,348541.9733923766
124,2020-07-06,123613.21663249675,357702.66207897314
125,2020-07-07,122151.45572138292,366839.5200716953
126,2020-07-08,120557.38583454529,375961.4323409431
127,2020-07-09,118835.74623693102,385052.27159896237
128,2020-07-10,117030.68959514162,394088.0960211941
129,2020-07-11,115129.69935388859,403076.8269803393
130,2020-07-12,113122.94115441496,412004.85217741027
131,2020-07-13,111035.50428570373,420852.6240885051
132,2020-07-14,108882.24650012625,429621.2471418776
133,2020-07-15,106662.69277691381,438301.4429314594
134,2020-07-16,104373.55752642563,446881.8484262721
135,2020-07-17,102024.74813436986,455355.1318370833
136,2020-07-18,99624.36350045564,463712.28784119803
137,2020-07-19,97165.6234177763,471948.6625400991
138,2020-07-20,94658.47339087268,480054.3577134607
139,2020-07-21,92120.36983346092,488019.4389709895
140,2020-07-22,89547.55933219587,495843.2614657189
141,2020-07-23,86943.06144163331,503517.3607921117
142,2020-07-24,84323.52910995806,511031.67936220695
143,2020-07-25,81694.3798463953,518386.48302281846
144,2020-07-26,79058.49758223924,525576.6851509886
145,2020-07-27,76423.60891480408,532594.6083260641
146,2020-07-28,73795.05232393251,539438.8088815107
147,2020-07-29,71176.13644784396,546106.4205132104
148,2020-07-30,68570.31264543966,552593.169268627
149,2020-07-31,65983.98377941926,558896.464426746
150,2020-08-01,63423.16051054345,565014.5875709566
151,2020-08-02,60889.474809892934,570946.5899506728
152,2020-08-03,58387.25724891099,576690.3279403773
153,2020-08-04,55923.358697100986,582244.5527270553
154,2020-08-05,53500.66476781862,587610.6612397782
155,2020-08-06,51122.35392687511,592788.2910012048
156,2020-08-07,48793.13599776985,597777.0036973867
157,2020-08-08,46515.181370517916,602579.1328199506
158,2020-08-09,44290.34489376708,607196.0695701633
159,2020-08-10,42121.413986339,611628.6264992985
160,2020-08-11,40010.50004409487,615879.3950544233
161,2020-08-12,37959.168508332754,619951.0862875562
162,2020-08-13,35968.66334743256,623846.0169981227
163,2020-08-14,34040.34440025492,627567.0653336174
164,2020-08-15,32175.582853857082,631117.6880094612
165,2020-08-16,30375.050414753965,634501.5443109742
166,2020-08-17,28639.43024712434,637722.1312561921
167,2020-08-18,26969.348062266174,640783.3491097501
168,2020-08-19,25364.62023799616,643689.68175018
169,2020-08-20,23825.04629360081,646445.2837762809
170,2020-08-21,22350.496050030786,649054.3711691838
171,2020-08-22,20940.297981029675,651521.7559862665
172,2020-08-23,19593.65967735458,653852.0955600237
173,2020-08-24,18309.767514551022,656049.9012034617
174,2020-08-25,17087.53167293889,658120.0225563274
175,2020-08-26,15925.785572816585,660067.3449413021
176,2020-08-27,14823.312290389496,661896.610486743
