date,location,new_cases,new_deaths,total_cases,total_deaths,govt_pol_index,tests_per_thous,Susceptible,Infected,Recovered,I_x,Stages
3/22/20,India,119,3,439,7,100,0.002,299478.827851764,434.799132240422,89.3730159956764,59.5362732716603,1
3/23/20,India,53,2,492,9,81.22,0.001,299419.291578492,484.230103765939,99.4783177418192,66.2278277723235,1
3/24/20,India,70,0,562,9,81.22,0.002,299353.06375072,539.214497757665,110.721751522445,73.6844382950803,1
3/25/20,India,87,4,649,13,100,0.0028,299279.379312425,600.385227200717,123.235460374418,82.0513441984076,1
3/26/20,India,75,4,724,17,100,0.0036,299197.327968226,668.495425478219,137.176606295361,91.234154632315,1
3/27/20,India,149,2,873,19,100,0.0044,299106.093813594,744.22403351833,152.682152887524,101.395035159658,2
3/28/20,India,106,6,979,25,100,0.0052,299004.698778434,828.38339735415,169.917824211404,112.704586564563,1
3/29/20,India,92,4,1071,29,100,0.006,298891.99419187,921.926106528675,189.079701601399,125.333409630519,2
3/30/20,India,180,3,1251,32,100,0.0068,298766.660782239,1025.94499409479,210.394223665801,139.452105141478,2
3/31/20,India,146,3,1397,35,100,0.0076,298627.208677098,1141.67313661527,234.118186286804,155.231273881218,2
4/1/20,India,568,15,1965,50,100,0.0084,298471.977403217,1270.48385416279,260.538742620496,172.84151663346,1
4/2/20,India,336,6,2301,56,100,0.0092,298299.135886583,1413.89071031992,289.973403096867,192.453434182098,2
4/3/20,India,601,12,2902,68,100,0.01,298106.682452401,1573.5475121791,322.770035419801,214.237627310911,2
4/4/20,India,472,9,3374,77,100,0.01,297892.44482509,1751.24831034268,359.306864567084,238.364696803503,2
4/5/20,India,693,32,4067,109,100,0.008,297654.080128287,1948.9273989229,399.992472790397,265.005243443942,2
4/6/20,India,354,5,4421,114,100,0.008,297389.074884843,2168.65931554189,445.265799615321,294.329868015775,2
4/7/20,India,773,35,5194,149,100,0.009,297094.745016827,2412.65884133168,495.596141841332,326.681632460968,2
4/8/20,India,540,17,5734,166,100,0.01,296768.063384366,2683.39551497242,551.541100661544,362.664733098005,2
4/9/20,India,678,33,6412,199,100,0.011,296405.398651268,2983.82694404023,613.774404691777,402.440916045627,2
4/10/20,India,1035,40,7447,239,100,0.012,296002.957735222,3317.12294187185,682.919322905767,446.516479465645,2
4/11/20,India,909,34,8356,273,100,0.012,295556.441255757,3686.85162599577,759.707118247513,495.415156913747,3
4/12/20,India,796,35,9152,308,100,0.014,295061.026098843,4096.98994096134,844.983960195644,549.660681945155,3
4/13/20,India,1211,31,10363,339,100,0.016,294511.365416898,4551.92365833877,939.710924763418,609.776788115676,3
4/14/20,India,1075,38,11438,377,100,0.019,293901.588628782,5056.44737671914,1044.96399449872,676.28720898059,3
4/15/20,India,942,37,12380,414,100,0.021,293225.301419802,5615.76452171437,1161.93405848407,749.715678095468,3
4/16/20,India,1007,23,13387,437,100,0.022,292475.585741706,6235.48734595729,1291.9269123366,830.58592901571,3
4/17/20,India,991,43,14378,480,100,0.024,291644.99981269,6921.63692910155,1436.36325820808,919.421695297002,3
4/18/20,India,1334,27,15712,507,100,0.024,290725.578117393,7680.64317782168,1596.77870478493,1016.74671049463,3
4/19/20,India,1553,36,17265,543,100,0.025,289708.831406899,8519.34482581308,1774.82376728816,1123.08470816421,3
4/20/20,India,1335,47,18600,590,97.35,0.026,288585.746698735,9444.989433792,1972.26386747343,1238.95942186116,3
4/21/20,India,1384,50,19984,640,97.35,0.027,287346.787276873,10465.2333894956,2190.97933363102,1363.64366879279,3
4/22/20,India,1409,41,21393,681,97.35,0.028,285983.143608081,11586.9085541032,2432.94783781623,1496.04587856127,3
4/23/20,India,1684,37,23077,718,97.35,0.029,284487.097729519,12815.4890329242,2700.41323755648,1644.3323999304,3
4/24/20,India,1429,57,24506,775,97.35,0.03,282842.765329589,14164.1124893096,2996.12218110155,1808.70349417994,3
4/25/20,India,1990,49,26496,824,97.35,0.03,281034.061835409,15645.9057470857,3323.03241750538,1988.52042008884,4
4/26/20,India,1396,48,27892,872,97.35,0.03,279045.54141532,17273.1683482721,3684.29023640776,2183.14443643595,3
4/27/20,India,1543,62,29435,934,97.35,0.033,276862.396978884,19057.3725530815,4083.23046803434,2391.93680200027,3
4/28/20,India,1897,73,31332,1007,97.35,0.035,274470.460176884,21009.1633399195,4523.37648319664,2614.25877556077,4
4/29/20,India,1718,67,33050,1074,97.35,0.04,271856.201401323,23138.3584053848,5008.44019329203,2849.47161589621,4
4/30/20,India,1993,73,35043,1147,97.35,0.045,269006.729785427,25453.9481642694,5542.32205030376,3096.93658178579,4
5/1/20,India,2293,71,37336,1218,97.35,0.05,265909.793203641,27964.095749558,6129.11104680093,3356.01493200817,4
5/2/20,India,2644,83,39980,1301,97.35,0.052,262553.778271633,30676.1370124286,6773.08471593849,3626.06792534245,4
5/3/20,India,2553,72,42533,1373,97.35,0.049,258927.710346291,33596.5805222523,7478.70913145726,3906.45682056749,4
5/4/20,India,3900,195,46433,1568,79.24,0.052,255021.253525723,36731.1075665931,8250.63890768394,4196.54287646225,4
5/5/20,India,2958,126,49391,1694,79.24,0.055,250824.710649261,40084.5721512083,9093.71719953107,4495.68735180562,4
05/06/20,India,3561,89,52952,1783,79.24,0.06,246329.023297455,43661.0010000479,10012.975702497,4800.69534804454,4
05/07/20,India,3390,103,56342,1886,79.24,0.059,241528.327949411,47463.1260633598,11011.5459872295,5106.14750996922,4
05/08/20,India,3320,95,59662,1981,79.24,0.059,236422.180439441,51487.3795539292,12093.4400066294,5409.69776129333,4
05/09/20,India,3277,128,62939,2109,79.24,0.061,231012.482678148,55725.229784785,13265.287537067,5707.53551487561,4
05/10/20,India,4213,97,67152,2206,79.24,0.057,225304.947163273,60165.084361254,14532.9684754735,5995.8460943489,4
05/11/20,India,3604,87,70756,2293,79.24,0.057,219309.101068924,64792.2916691921,15901.6072618844,6270.81482334589,4
