data,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
05/13/20,,,,206509.659220078,74534.861925542,18958.4788543797
05/14/20,,,,199744.191195636,79605.6255483094,20653.1832560544
05/15/20,,,,192766.668051829,84774.543251257,22461.7886969138
05/16/20,,,,185605.690344603,90011.6673228847,24385.6423325127
05/17/20,,,,178293.673306269,95283.9908322211,26425.3358615101
05/18/20,,,,170866.846845508,100555.447628824,28580.7055256687
05/19/20,,,,163365.255547365,105786.91234278,30850.8321098551
05/20/20,,,,155832.758673257,110936.200384703,33234.04094204
05/21/20,,,,148317.030160963,115958.06794574,35727.9018932979
05/22/20,,,,140869.558624632,120804.211997561,38329.2293778073
05/23/20,,,,133545.64735478,125423.270292369,41034.0823528505
05/24/20,,,,126383.657554427,129780.149161297,43839.1932842752
05/25/20,,,,119395.186418366,133868.194303198,46739.6192784355
05/26/20,,,,112603.439874885,137671.959189488,49727.6009356263
05/27/20,,,,106028.913541716,141178.555467848,52795.5309904365
05/28/20,,,,99689.2974657744,144377.737205886,55935.9653283399
05/29/20,,,,93599.4761231667,147261.900891139,59141.6229856946
05/30/20,,,,87771.5284191848,149826.085431072,62405.3861497438
05/31/20,,,,82214.7276883083,152067.972153077,65720.3001586147
06/01/20,,,,76935.5416942043,153987.884804476,69079.5735013196
06/02/20,,,,71937.6326297269,155588.789552518,72476.5778177552
06/03/20,,,,67221.8571169178,156876.294984379,75904.8478987028
06/04/20,,,,62786.266207006,157858.652107166,79358.0816858285
06/05/20,,,,58626.1053804078,158546.754347909,82830.1402716827
06/06/20,,,,54733.8145467267,158954.137553572,86315.0478997008
06/07/20,,,,51099.0280447539,159096.979991044,89806.9919642025
06/08/20,,,,47708.5746424675,158994.10234714,93300.3230103922
06/09/20,,,,44546.4775370332,158666.967728608,96789.5547343591
06/10/20,,,,41600.9703752077,158133.575248857,100268.454375935
06/11/20,,,,38864.5226825186,157406.725719665,103731.751597817
06/12/20,,,,36321.8994028744,156504.673084758,107176.427512367
06/13/20,,,,33958.7977069584,155444.591168774,110599.611124268
06/14/20,,,,31761.9250773227,154242.510017425,113998.564905252
06/15/20,,,,29718.9993083884,152913.315897501,117370.684794111
06/16/20,,,,27818.7485064456,151470.751296868,120713.500196686
06/17/20,,,,26050.9110896532,149927.41492447,124024.673985877
06/18/20,,,,24406.2357880393,148294.761710326,127302.002501635
06/19/20,,,,22876.4816435007,146583.102805535,130543.415550965
06/20/20,,,,21454.4180098034,144801.605582269,133746.976407928
06/21/20,,,,20133.824552582,142958.293633779,136910.881813639
06/22/20,,,,18909.4912493404,141060.046774394,140033.461976265
06/23/20,,,,17777.2183894513,139112.601039517,143113.180571031
06/24/20,,,,16733.8165741564,137120.54868563,146148.634740213
06/25/20,,,,15775.573706223,135088.80350232,149138.622791457
06/26/20,,,,14887.4879688762,133032.628832196,152082.883198928
06/27/20,,,,14062.0112573634,130959.584644547,154981.40409809
06/28/20,,,,13294.3187838196,128874.537357613,157834.143858567
06/29/20,,,,12579.8886992705,126782.018364556,160641.092936173
06/30/20,,,,11914.5020936321,124686.224033455,163402.273872913
07/01/20,,,,11294.2429957111,122591.01570731,166117.741296978
07/02/20,,,,10715.4983732046,120499.919704041,168787.581922754
07/03/20,,,,10174.9581327003,118416.127316487,171411.914550813
07/04/20,,,,9669.61511967637,116342.494812407,173990.890067917
07/05/20,,,,9196.76511850163,114281.54343448,176524.691447019
07/06/20,,,,8754.00685243535,112235.459400305,179013.53374726
07/07/20,,,,8339.24198362734,110206.0939024,181457.664113973
07/08/20,,,,7950.67511311796,108194.963108204,183857.361778678
07/09/20,,,,7586.81378083809,106203.248160076,186212.938059086
07/10/20,,,,7246.46846560913,104231.795175292,188524.736359099
07/11/20,,,,6928.75258514305,102281.115246051,190793.132168806
07/12/20,,,,6631.77339053544,100352.612442848,193018.614166617
07/13/20,,,,6352.60866533579,98448.5446031096,195201.846731555
07/14/20,,,,6090.10114721127,96569.455186941,197343.443665848
07/15/20,,,,5843.16954889198,94715.8154476935,199444.015003415
07/16/20,,,,5610.78533671649,92888.0465357873,201504.168127496
07/17/20,,,,5391.97273063182,91086.5194987121,203524.507770656
07/18/20,,,,5185.80870419348,89311.5552810264,205505.63601478
