,Date,location,new_cases,new_deaths,total_cases,total_deaths,total_tests,Lockdown,Public_Health,Governance_and_socio-economic,Humanitarian_exemption,Social_distancing,Movement_restrictions,Day,Month,Year,days_outbreak,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,rolling_std,Stages,Components,Weekday,days_completed
19,2020-04-17,India,1007,23,13387,437,32167.0,58.0,301.0,70.0,0.0,43.0,196.0,17,4,2020,26,9.701,0.73,0.317,0.017,0.0017812738070139336,3,3,4,20
20,2020-04-19,India,1334,27,15712,507,29463.0,62.0,315.0,76.0,0.0,45.0,206.0,19,4,2020,28,11.385,0.967,0.3670000000000001,0.02,0.005184747136906779,3,3,6,21
21,2020-04-20,India,1553,36,17265,543,41247.0,64.0,322.0,79.0,0.0,46.0,211.0,20,4,2020,29,12.511,1.125,0.393,0.026,0.007587068175701779,3,3,0,22
22,2020-04-21,India,1335,47,18600,590,38168.0,66.0,329.0,82.0,0.0,47.0,217.0,21,4,2020,30,13.478,0.967,0.428,0.034,0.003378830744851913,3,3,1,23
23,2020-04-22,India,1384,50,19984,640,45352.0,68.0,336.0,85.0,0.0,48.0,223.0,22,4,2020,31,14.481,1.003,0.464,0.036000000000000004,0.0030633222471412548,3,3,2,24
24,2020-04-23,India,1409,41,21393,681,40510.0,70.0,343.0,88.0,0.0,49.0,229.0,23,4,2020,32,15.502,1.021,0.493,0.03,0.001008224246021032,3,3,3,25
25,2020-04-24,India,1684,37,23077,718,50914.0,72.0,350.0,91.0,0.0,50.0,235.0,24,4,2020,33,16.722,1.22,0.52,0.027000000000000003,0.004458383409095397,4,1,4,26
26,2020-04-25,India,1429,57,24506,775,54031.0,74.0,357.0,94.0,0.0,51.0,241.0,25,4,2020,34,17.758,1.036,0.562,0.041,0.0041066068966884505,3,3,5,27
27,2020-04-26,India,1990,49,26496,824,59437.0,76.0,364.0,97.0,0.0,52.0,247.0,26,4,2020,35,19.2,1.442,0.597,0.036000000000000004,0.0075231973942466186,4,1,6,28
28,2020-04-27,India,1396,48,27892,872,59438.0,78.0,371.0,100.0,0.0,53.0,253.0,27,4,2020,36,20.212,1.012,0.632,0.035,0.008941177413779136,3,3,0,29
29,2020-04-28,India,1543,62,29435,934,59439.0,80.0,378.0,103.0,0.0,54.0,259.0,28,4,2020,37,21.33,1.118,0.677,0.045,0.00828607006795887,3,3,1,30
30,2020-04-29,India,1897,73,31332,1007,59440.0,82.0,385.0,106.0,0.0,55.0,265.0,29,4,2020,38,22.704,1.375,0.73,0.053,0.006897595864154506,4,1,2,31
31,2020-04-30,India,1718,67,33050,1074,59441.0,84.0,392.0,109.0,0.0,56.0,271.0,30,4,2020,39,23.949,1.245,0.778,0.049,0.00474083368433335,4,1,3,32
32,2020-05-01,India,1993,73,35043,1147,59442.0,86.0,399.0,112.0,0.0,57.0,277.0,1,5,2020,40,25.393,1.444,0.831,0.053,0.003738267749923969,4,1,4,33
