,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Date,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
47,16/02/2020,16,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-16,0.0,26.0,44.0,0.0,0.0,17.0
48,17/02/2020,17,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-17,0.0,27.0,46.0,0.0,0.0,18.0
49,18/02/2020,18,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-18,0.0,28.0,48.0,0.0,0.0,19.0
50,19/02/2020,19,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-19,0.0,29.0,50.0,0.0,0.0,20.0
51,20/02/2020,20,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-20,0.0,30.0,52.0,0.0,0.0,21.0
52,21/02/2020,21,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-21,0.0,31.0,54.0,0.0,0.0,22.0
53,22/02/2020,22,2,2020,19,0,United_States_of_America,US,USA,327167434.0,2020-02-22,0.0,32.0,56.0,0.0,0.0,23.0
54,23/02/2020,23,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-23,0.0,33.0,58.0,0.0,0.0,24.0
55,24/02/2020,24,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-24,0.0,34.0,60.0,0.0,0.0,25.0
56,25/02/2020,25,2,2020,18,0,United_States_of_America,US,USA,327167434.0,2020-02-25,0.0,35.0,62.0,0.0,0.0,26.0
57,26/02/2020,26,2,2020,0,0,United_States_of_America,US,USA,327167434.0,2020-02-26,0.0,36.0,64.0,0.0,0.0,27.0
58,27/02/2020,27,2,2020,6,0,United_States_of_America,US,USA,327167434.0,2020-02-27,0.0,37.0,66.0,0.0,0.0,28.0
59,28/02/2020,28,2,2020,1,0,United_States_of_America,US,USA,327167434.0,2020-02-28,0.0,39.0,68.0,0.0,0.0,29.0
60,29/02/2020,29,2,2020,6,0,United_States_of_America,US,USA,327167434.0,2020-02-29,0.0,41.0,70.0,0.0,0.0,30.0
61,01/03/2020,1,3,2020,3,1,United_States_of_America,US,USA,327167434.0,2020-03-01,0.0,43.0,72.0,0.0,0.0,31.0
62,02/03/2020,2,3,2020,20,1,United_States_of_America,US,USA,327167434.0,2020-03-02,0.0,45.0,75.0,0.0,0.0,32.0
63,03/03/2020,3,3,2020,14,4,United_States_of_America,US,USA,327167434.0,2020-03-03,0.0,47.0,78.0,0.0,0.0,33.0
64,04/03/2020,4,3,2020,22,3,United_States_of_America,US,USA,327167434.0,2020-03-04,0.0,49.0,81.0,0.0,0.0,34.0
65,05/03/2020,5,3,2020,34,2,United_States_of_America,US,USA,327167434.0,2020-03-05,0.0,51.0,84.0,0.0,0.0,35.0
66,06/03/2020,6,3,2020,74,1,United_States_of_America,US,USA,327167434.0,2020-03-06,0.0,53.0,87.0,0.0,0.0,36.0
67,07/03/2020,7,3,2020,105,2,United_States_of_America,US,USA,327167434.0,2020-03-07,0.0,55.0,90.0,0.0,0.0,37.0
68,08/03/2020,8,3,2020,95,3,United_States_of_America,US,USA,327167434.0,2020-03-08,0.0,58.0,93.0,0.0,0.0,38.0
69,09/03/2020,9,3,2020,121,4,United_States_of_America,US,USA,327167434.0,2020-03-09,0.0,61.0,96.0,0.0,0.0,39.0
70,10/03/2020,10,3,2020,200,5,United_States_of_America,US,USA,327167434.0,2020-03-10,0.0,64.0,99.0,0.0,0.0,40.0
71,11/03/2020,11,3,2020,271,2,United_States_of_America,US,USA,327167434.0,2020-03-11,0.0,67.0,102.0,0.0,1.0,41.0
72,12/03/2020,12,3,2020,287,2,United_States_of_America,US,USA,327167434.0,2020-03-12,0.0,70.0,105.0,0.0,2.0,42.0
73,13/03/2020,13,3,2020,351,10,United_States_of_America,US,USA,327167434.0,2020-03-13,0.0,73.0,108.0,0.0,4.0,43.0
74,14/03/2020,14,3,2020,511,7,United_States_of_America,US,USA,327167434.0,2020-03-14,0.0,77.0,111.0,0.0,6.0,44.0
75,15/03/2020,15,3,2020,777,10,United_States_of_America,US,USA,327167434.0,2020-03-15,0.0,81.0,114.0,0.0,8.0,45.0
76,16/03/2020,16,3,2020,823,12,United_States_of_America,US,USA,327167434.0,2020-03-16,0.0,86.0,117.0,0.0,10.0,46.0
77,17/03/2020,17,3,2020,887,16,United_States_of_America,US,USA,327167434.0,2020-03-17,0.0,91.0,120.0,0.0,12.0,47.0
78,18/03/2020,18,3,2020,1766,23,United_States_of_America,US,USA,327167434.0,2020-03-18,0.0,96.0,123.0,0.0,14.0,48.0
79,19/03/2020,19,3,2020,2988,42,United_States_of_America,US,USA,327167434.0,2020-03-19,0.0,101.0,126.0,0.0,16.0,49.0
80,20/03/2020,20,3,2020,4835,0,United_States_of_America,US,USA,327167434.0,2020-03-20,0.0,106.0,129.0,0.0,18.0,51.0
81,21/03/2020,21,3,2020,5374,110,United_States_of_America,US,USA,327167434.0,2020-03-21,0.0,111.0,132.0,0.0,20.0,53.0
82,22/03/2020,22,3,2020,7123,80,United_States_of_America,US,USA,327167434.0,2020-03-22,0.0,116.0,136.0,0.0,22.0,55.0
83,23/03/2020,23,3,2020,8459,131,United_States_of_America,US,USA,327167434.0,2020-03-23,0.0,121.0,140.0,0.0,24.0,57.0
84,24/03/2020,24,3,2020,11236,119,United_States_of_America,US,USA,327167434.0,2020-03-24,0.0,126.0,144.0,0.0,26.0,59.0
85,25/03/2020,25,3,2020,8789,211,United_States_of_America,US,USA,327167434.0,2020-03-25,0.0,131.0,148.0,0.0,28.0,61.0
86,26/03/2020,26,3,2020,13963,249,United_States_of_America,US,USA,327167434.0,2020-03-26,0.0,136.0,152.0,0.0,30.0,63.0
87,27/03/2020,27,3,2020,16797,246,United_States_of_America,US,USA,327167434.0,2020-03-27,0.0,141.0,156.0,0.0,32.0,65.0
88,28/03/2020,28,3,2020,18695,411,United_States_of_America,US,USA,327167434.0,2020-03-28,0.0,146.0,160.0,0.0,34.0,67.0
89,29/03/2020,29,3,2020,19979,484,United_States_of_America,US,USA,327167434.0,2020-03-29,0.0,151.0,164.0,0.0,36.0,69.0
90,30/03/2020,30,3,2020,18360,318,United_States_of_America,US,USA,327167434.0,2020-03-30,0.0,156.0,168.0,0.0,38.0,71.0
91,31/03/2020,31,3,2020,21595,661,United_States_of_America,US,USA,327167434.0,2020-03-31,0.0,161.0,172.0,0.0,40.0,73.0
92,01/04/2020,1,4,2020,24998,909,United_States_of_America,US,USA,327167434.0,2020-04-01,0.0,166.0,176.0,0.0,42.0,75.0
93,02/04/2020,2,4,2020,27103,1059,United_States_of_America,US,USA,327167434.0,2020-04-02,0.0,171.0,180.0,0.0,44.0,77.0
94,03/04/2020,3,4,2020,28819,915,United_States_of_America,US,USA,327167434.0,2020-04-03,0.0,176.0,184.0,0.0,46.0,79.0
95,04/04/2020,4,4,2020,32425,1104,United_States_of_America,US,USA,327167434.0,2020-04-04,0.0,181.0,188.0,0.0,48.0,81.0
96,05/04/2020,5,4,2020,34272,1344,United_States_of_America,US,USA,327167434.0,2020-04-05,0.0,186.0,192.0,0.0,50.0,83.0
97,06/04/2020,6,4,2020,25398,1146,United_States_of_America,US,USA,327167434.0,2020-04-06,0.0,191.0,196.0,0.0,52.0,85.0
98,07/04/2020,7,4,2020,30561,1342,United_States_of_America,US,USA,327167434.0,2020-04-07,0.0,196.0,200.0,0.0,54.0,87.0
99,08/04/2020,8,4,2020,30613,1906,United_States_of_America,US,USA,327167434.0,2020-04-08,0.0,201.0,204.0,0.0,56.0,89.0
100,09/04/2020,9,4,2020,33323,1922,United_States_of_America,US,USA,327167434.0,2020-04-09,0.0,206.0,208.0,0.0,58.0,91.0
101,10/04/2020,10,4,2020,33901,1873,United_States_of_America,US,USA,327167434.0,2020-04-10,0.0,211.0,212.0,0.0,60.0,93.0
